0,033260,E7統一
0,033261,E8統一
0,033262,E9統一
0,033263,F1統一
0,033264,F2統一
0,033275,9J凱基
0,033276,9K凱基
0,033277,9L凱基
0,033281,日盛EY
0,033298,18中信
0,033299,19中信
0,033300,20中信
0,033301,21中信
0,033304,24中信
0,033305,25中信
0,033317,富邦1D
0,03332C,元牛01
0,03334C,元牛BM
0,033350,F6統一
0,033351,F7統一
0,033352,F8統一
0,033353,F9統一
0,03335C,元牛Z1
0,033360,5R元大
0,03336C,兆牛HL
0,033370,日盛FD
0,03337C,兆牛HM
0,03338C,元牛BN
0,033391,富邦1M
0,03339C,元牛21
0,033401,39中信
0,03340C,元牛31
0,03342C,凱牛48
0,033433,兆豐5R
0,03343C,凱牛49
0,03344C,元牛41
0,033450,1K群益
0,03345C,凱牛50
0,033469,44中信
0,03346C,兆牛B4
0,03347C,兆牛B5
0,03348C,元牛51
0,033495,G1統一
0,03349C,元牛61
0,033510,國泰NR
0,033511,國泰NS
0,033512,GR元富
0,033515,日盛FP
0,03352C,凱牛52
0,033533,48中信
0,033550,G2統一
0,033551,G3統一
0,033552,G4統一
0,03355C,兆牛30
0,033563,富邦1W
0,03356C,群牛AA
0,03357C,CT兆牛
0,033584,G5統一
0,033585,G6統一
0,033586,G7統一
0,033587,G8統一
0,033588,G9統一
0,033589,H1統一
0,03358C,群牛AB
0,033590,H2統一
0,03359C,凱牛53
0,033600,GT元富
0,033601,GU元富
0,033606,國票EG
0,033607,國票EH
0,033633,52中信
0,033634,53中信
0,033635,54中信
0,033638,57中信
0,033639,58中信
0,03363C,元牛91
0,033642,JJ第一
0,033646,2E群益
0,03364C,元牛A1
0,03365C,KH兆牛
0,03366C,群牛AC
0,03367C,元牛68
0,033696,凱基42
0,033705,H3統一
0,033744,兆豐7A
0,033762,富邦2M
0,033765,日盛GC
0,033789,凱基62
0,033790,H4統一
0,033791,H5統一
0,033792,H6統一
0,033793,H7統一
0,033794,H8統一
0,033795,H9統一
0,033796,J1統一
0,033797,J2統一
0,033804,國票EM
0,033817,2Z群益
0,033823,富邦2Q
0,033846,日盛GG
0,033859,J3統一
0,033916,日盛GH
0,033933,國泰15
0,033936,富邦2Z
0,033938,富邦3B
0,033962,4E群益
0,033972,J4統一
0,033973,J5統一
0,033983,國泰21
0,033985,富邦3H
0,033991,JH元富
0,034020,4S群益
0,034054,75中信
0,034064,國泰25
0,034065,國泰26
0,034070,富邦3R
0,034075,富邦3W
0,034092,78中信
0,034116,J6統一
0,034117,J7統一
0,034119,9Y元大
0,034122,國泰30
0,034123,富邦3Y
0,034125,5B群益
0,034153,J8統一
0,034154,J9統一
0,034155,K1統一
0,034156,K2統一
0,034157,K3統一
0,034158,元大02
0,034166,凱基C4
0,034171,K5統一
0,034172,K6統一
0,034174,元大06
0,034175,元大07
0,034176,元大08
0,034183,79中信
0,034196,5D群益
0,034197,5E群益
0,034199,5G群益
0,034240,富邦4H
0,034241,富邦4J
