2016/01/26,11:57:58
舦靡腹,舦靡嘿,禦秖,禦基,芥基,芥秖,禦芥基畉,瞶禦芥基畉,Θユ基,害禴碩(%),Θユ秖,夹嘿,基ず,糹基,︽ㄏゑㄒ,逞緇ぱ计,Τ篵膘,BIV,SIV
="037473",N3い獺,499,0.44,0.45,99,2.273%,1.060%,0.46,-6.12%,18,CFA50,5.67% 基ず,15,0.25,36,5.56,65.90%,68.01%
="037361",E2瓣,499,0.51,0.52,100,1.961%,1.381%,-,-,0,CFA50,0.94% 基,16,0.40,36,6.49,66.84%,68.01%
="037371",じ碔B3,499,0.54,0.55,100,1.852%,1.667%,-,-,0,CFA50,0.94% 基,16,0.40,36,6.17,70.59%,71.76%
="037472",N2い獺,499,0.40,0.41,99,2.500%,1.047%,-,-,0,CFA50,0.94% 基,16,0.33,36,6.78,63.56%,65.20%
="07023P",惩膀CZ,499,0.62,0.64,100,3.226%,3.165%,-,-,0,参,0.95% 基,52.50,0.18,30,-6.67,61.34%,63.21%
="036984",惩膀CJ,499,0.60,0.65,10,8.333%,5.812%,-,-,0,鹅,4.17% 基ず,72,0.12,28,9.52,39.53%,44.97%
="037097",GNッ伦,499,0.80,0.81,10,1.250%,5.883%,0.79,-13.19%,19,鹅,2.84% 基ず,72.93,0.1750,30,10.33,39.76%,40.46%
="037083",じ碔9S,499,0.97,1.01,100,4.124%,5.059%,-,-,0,鹅,1.35% 基ず,74,0.20,30,8.61,50.06%,52.40%
="034589",碔ü5T,499,2.97,3.07,10,3.367%,1.838%,-,-,0,狥锭,26.14% 基ず,36.19,0.3070,37,4.26,46.90%,61.92%
="037100",GRッ伦,499,1.55,1.59,75,2.581%,2.864%,1.62,0.62%,19,F-約地,26.95% 基ず,100.43,0.0520,30,3.48,87.68%,96.58%
="06747P",伦DW,499,0.57,0.58,10,1.754%,2.832%,0.62,-10.14%,6,晶翬,1.53% 基,412.70,0.0170,44,-4.89,63.87%,64.89%
="06984P",惩膀BX,499,0.85,0.87,200,2.353%,2.459%,-,-,0,晶翬,0.32% 基,417.67,0.02,28,-4.30,93.54%,95.70%
="07306P",H9瓣,519,0.74,0.75,100,1.351%,2.102%,0.78,4%,200,晶翬,0.32% 基,417.67,0.0150,45,-3.49,85.77%,86.91%
="06647P",竤痲J4,299,0.74,0.78,100,5.405%,3.054%,0.79,5.33%,11,晶翬,4.24% 基ず,437.56,0.0160,37,-4.50,67.00%,71.67%
="07005P",KYじ,95,0.62,0.66,10,6.452%,2.901%,0.62,-3.13%,5,晶翬,8.41% 基ず,457.45,0.01,29,-4.01,81.35%,90.01%
="06991P",伦JA,499,0.92,1.25,20,35.870%,2.726%,-,-,0,晶翬,13.57% 基ず,484.79,0.0120,28,-3.69,69.31%,133.36%
="06791P",じ碔5W,499,0.62,0.67,10,8.065%,3.794%,0.62,-4.62%,10,籈锭,6.14% 基ず,220,0.03,21,-6.10,63.04%,71.82%
="06997P",EG参,368,0.92,1.01,10,9.783%,2.411%,-,-,0,籈锭,15.80% 基ず,245.25,0.0220,29,-3.55,61.22%,84.11%
