2016/01/26,11:57:58
舦靡腹,舦靡嘿,禦秖,禦基,芥基,芥秖,禦芥基畉,瞶禦芥基畉,Θユ基,害禴碩(%),Θユ秖,夹嘿,基ず,糹基,︽ㄏゑㄒ,逞緇ぱ计,Τ篵膘,BIV,SIV
="07167P",KLッ伦,499,0.89,0.90,240,1.124%,4.005%,0.94,10.59%,2,翬,0.61% 基ず,75.96,0.2140,37,-8.38,41.16%,41.63%
="036028",じ碔2H,499,0.11,0.16,10,45.455%,13.272%,-,-,0,翬,1.49% 基,76.64,0.1320,8,29.09,29.12%,37.89%
="036114",伦DF,519,0.18,0.23,70,27.778%,8.844%,-,-,0,翬,1.49% 基,76.64,0.11,39,18.07,21.12%,25.75%
="07283P",N7竤痲,499,0.72,0.73,399,1.389%,3.898%,0.71,2.90%,27,翬,1.95% 基ず,77,0.15,44,-8.39,38.41%,39.06%
="06730P",3Q碔ü,499,0.57,0.59,10,3.509%,6.311%,-,-,0,翬,2.66% 基ず,77.56,0.1640,21,-13.12,31.80%,33.56%
="06826P",瓣布GV,499,1.10,1.14,399,3.636%,6.561%,-,-,0,翬,2.66% 基ず,77.56,0.3290,21,-13.82,29.88%,31.69%
="07143P",YHじ,499,0.63,0.64,300,1.587%,4.270%,0.63,3.28%,18,翬,2.66% 基ず,77.56,0.1320,36,-8.82,38.53%,39.35%
="07199P",ZKじ,499,0.70,0.71,300,1.429%,4.105%,0.70,2.94%,18,翬,2.66% 基ず,77.56,0.1420,38,-8.47,39.18%,39.88%
="06622P",じ碔1Q,499,0.85,0.86,200,1.177%,9.926%,0.91,16.67%,84,翬,3.79% 基ず,78.47,0.2740,4,-20.92,30.99%,32.86%
="07272P",ら脖57,499,1.20,1.27,450,5.833%,4.096%,-,-,0,翬,5.63% 基ず,80,0.20,43,-8.17,31.45%,35.20%
="07295P",惩膀LP,200,1.39,1.42,200,2.158%,3.493%,-,-,0,翬,5.63% 基ず,80,0.20,45,-6.69,40.58%,41.98%
="06391P",碔ü5Z,499,2.55,2.59,10,1.569%,2.708%,-,-,0,翬,12.90% 基ず,86.68,0.2190,37,-5.48,37.07%,40.35%
="037342",惩膀FS,100,0.84,0.90,10,7.143%,3.838%,-,-,0,く腳,12.65% 基ず,16.20,0.35,36,5.67,48.77%,59.06%
="037543",伦MG,770,0.65,0.66,10,1.539%,4.346%,-,-,0,く腳,4.29% 基ず,17.50,0.40,37,6.95,52.51%,53.68%
="037292",NZじ,499,0.95,0.96,250,1.053%,5.087%,0.94,1.08%,786,く腳,1.39% 基ず,18,0.80,36,8.72,45.73%,46.43%
="037459",YBじ,499,0.39,0.40,180,2.564%,5.108%,0.36,-5.26%,180,く腳,1.35% 基,18.50,0.40,36,9.94,46.78%,47.83%
="06578P",じ8N,200,0.76,0.86,10,13.158%,4.343%,-,-,0,く腳,6.67% 基ず,19.50,0.4310,32,-6.25,44.56%,56.26%
="06788P",じ碔5T,477,1.05,1.10,100,4.762%,4.306%,-,-,0,く腳,9.00% 基ず,20,0.50,21,-6.09,52.04%,59.06%
="036531",64惩膀,100,5.15,5.65,10,9.709%,1.493%,-,-,0,珇,49.14% 基ず,35,0.30,21,2.66,0.00%,174.40%
="036066",じ碔2U,399,6.45,-,0,-,1.590%,-,-,0,珇,45.00% 基ず,36,0.40,9,-,0.00%,-
="036406",CSッ伦,499,5.85,6.10,50,4.274%,1.709%,-,-,0,珇,40.82% 基ず,37.07,0.39,21,3.29,0.00%,105.01%
="036048",ッNP,300,4.98,-,0,-,1.801%,-,-,0,珇,37.37% 基ず,38,0.35,9,-,60.05%,-
="036267",ら脖NA,499,4.94,5.15,10,4.251%,1.816%,-,-,0,珇,37.37% 基ず,38,0.35,21,3.46,0.00%,101.27%
="035760",L2ッ伦,499,4.37,4.47,50,2.288%,2.405%,-,-,0,珇,25.97% 基ず,41.44,0.41,3,4.84,0.00%,150.04%
="037641",ら脖49,499,2.64,2.69,10,1.880%,2.412%,-,-,0,珇,24.29% 基ず,42,0.25,38,4.46,52.51%,59.06%
="035513",竤痲D8,117,4.31,4.41,10,2.320%,2.563%,-,-,0,珇,23.67% 基ず,42.21,0.4310,28,5.02,0.00%,50.64%
="037316",穝1A,300,2.34,2.44,10,4.219%,3.248%,2.26,-0.88%,15,珇,17.30% 基ず,44.50,0.30,36,6.42,32.86%,45.96%
="037248",NEじ,400,1.87,1.94,10,3.158%,3.376%,-,-,0,珇,16.00% 基ず,45,0.25,32,6.11,42.22%,49.70%
="037492",惩膀GZ,300,1.95,2.05,100,5.076%,3.256%,-,-,0,珇,16.00% 基ず,45,0.25,36,5.51,47.83%,57.66%
="037626",KYッ伦,499,1.54,1.58,100,2.564%,3.092%,-,-,0,珇,15.05% 基ず,45.37,0.1880,38,4.96,62.39%,66.61%
="033350",F6参,408,0.92,1.01,10,9.783%,5.379%,-,-,0,珇,8.19% 基ず,48.25,0.1940,21,7.96,45.49%,57.19%
="032044",J2じ碔,499,0.74,0.84,10,13.514%,6.630%,-,-,0,珇,6.92% 基ず,48.82,0.1940,21,9.98,31.45%,45.49%
="037635",ZFじ,410,1.13,1.18,10,3.478%,4.817%,1.15,4.55%,130,珇,4.40% 基ず,50,0.25,38,7.24,50.52%,52.98%
="036994",伦HV,599,0.84,0.86,10,2.381%,4.314%,0.82,-6.82%,7,縩筿,17.57% 基ず,117.80,0.04,28,6.34,32.62%,43.97%
="037237",惩膀EH,200,1.96,2.02,100,3.061%,4.557%,1.92,-6.80%,40,縩筿,15.83% 基ず,120,0.10,32,6.30,34.73%,43.39%
="037280",NMじ,350,1.55,1.61,10,3.871%,4.578%,-,-,0,縩筿,15.83% 基ず,120,0.08,36,6.48,27.66%,39.88%
="037315",穝99,100,1.37,1.47,10,7.299%,5.059%,-,-,0,縩筿,13.47% 基ず,122.50,0.08,36,6.85,29.07%,43.39%
="037440",ら脖40,499,1,1.04,10,4.000%,5.138%,-,-,0,縩筿,12.60% 基ず,123,0.06,36,7.27,34.73%,41.40%
="036993",伦HU,479,1.07,1.11,10,3.738%,5.656%,1.07,-5.31%,20,縩筿,11.69% 基ず,124,0.07,28,7.91,32.86%,40.11%
="037375",じ碔B8,499,0.69,0.70,50,1.449%,5.624%,-,-,0,縩筿,8.20% 基ず,128,0.05,36,7.61,43.15%,44.56%
="035936",ら脖MA,499,0.60,0.66,10,10.000%,10.494%,-,-,0,縩筿,6.54% 基ず,130,0.07,5,13.51,28.13%,58.71%
="037023",穝81,499,0.97,1.07,10,10.309%,7.784%,-,-,0,縩筿,6.54% 基ず,130,0.10,28,10.64,26.61%,35.49%
="037536",伦LZ,710,0.71,0.72,10,1.409%,6.872%,0.68,-11.69%,10,縩筿,5.52% 基ず,131.25,0.07,37,10.59,32.86%,33.79%
="036692",じ碔7E,499,0.61,0.63,50,3.279%,8.283%,0.59,-10.61%,11,縩筿,4.92% 基ず,132,0.07,22,11.87,35.14%,37.60%
="037422",IVッ伦,499,0.62,0.63,10,1.613%,6.951%,0.60,-9.09%,10,縩筿,2.78% 基ず,134.75,0.0720,36,10.57,37.48%,38.30%
="035151",9M竤痲,499,0.58,0.61,499,5.172%,8.535%,-,-,0,縩筿,2.59% 基ず,135,0.08,21,11.61,39.88%,42.80%
="036412",穝59,100,0.35,0.45,10,28.571%,12.376%,-,-,0,縩筿,2.59% 基ず,135,0.07,21,16.16,21.53%,33.33%
="036565",AB瓣,499,0.76,0.80,15,5.263%,9.770%,-,-,0,縩筿,2.59% 基ず,135,0.12,21,13.68,32.57%,35.26%
="034070",碔ü3R,499,0.45,0.48,100,6.667%,9.532%,0.43,-14%,30,縩筿,2.44% 基ず,135.20,0.0720,28,14.73,28.31%,31.19%
="036745",EKッ伦,499,0.51,0.52,10,1.961%,9.444%,0.48,-15.79%,10,縩筿,2.08% 基ず,135.68,0.0820,23,14.57,33.30%,34.20%
="034438",6R竤痲,499,0.53,0.55,499,3.774%,8.127%,0.51,-13.56%,10,縩筿,1.07% 基,140,0.10,36,13.24,33.79%,34.93%
="035278",穝23,100,0.31,0.40,10,29.032%,15.904%,-,-,0,縩筿,1.07% 基,140,0.12,21,21.16,24.07%,29.74%
="036033",ッMY,499,0.43,0.52,200,20.930%,12.994%,-,-,0,縩筿,1.07% 基,140,0.15,9,19.86,40.35%,47.31%
="037453",XVじ,499,0.58,0.61,300,5.172%,7.426%,0.56,-15.15%,23,縩筿,1.07% 基,140,0.10,36,12.48,36.66%,38.36%
="037593",ドLX,213,0.47,0.49,200,4.255%,9.184%,-,-,0,縩筿,1.07% 基,140,0.10,37,14.31,29.91%,31.04%
="037865",8Z碔ü,499,1,1.01,100,1.000%,6.552%,0.98,-10.09%,61,縩筿,1.07% 基,140,0.15,43,10.81,37.98%,38.33%
="036392",CJ参,358,0.34,0.35,128,2.941%,8.614%,0.34,-10.53%,263,縩筿,1.56% 基,140.70,0.07,45,13.35,29.39%,30.12%
="036201",BUッ伦,499,0.23,0.24,10,4.348%,12.069%,0.22,-21.43%,10,縩筿,1.93% 基,141.23,0.0770,21,20.24,30.91%,31.91%
="037300",IAッ伦,499,0.72,0.73,10,1.389%,6.743%,0.73,30.36%,107,弘璣,3.00% 基ず,19.03,0.3550,36,5.71,70.35%,71.76%
="037206",ドLS,113,1.63,1.71,13,4.908%,2.094%,1.50,-6.25%,20,地ü筿,22.43% 基ず,7,1,31,5.10,52.51%,69.42%
="035547",穝33,100,1.31,1.37,10,4.580%,2.519%,-,-,0,地ü筿,17.40% 基ず,7.30,1,28,5.73,41.28%,56.26%
="036324",伦FH,499,1.32,-,0,-,2.270%,1.15,-8.73%,21,地ü筿,14.27% 基ず,7.50,1,44,5.78,57.19%,-
="037837",じ碔J4,499,1.04,1.06,100,1.923%,2.442%,-,-,0,地ü筿,7.13% 基ず,8,1,43,5.44,61.92%,63.80%
="035935",ら脖LZ,499,0.46,0.55,50,19.149%,7.438%,0.45,-30.77%,92,ㄎ笷,4.21% 基ず,9.50,1,5,16.51,46.90%,70.35%
="035876",BDじ,199,0.21,0.22,10,4.762%,7.529%,0.20,-31.03%,28,ㄎ笷,1.00% 基,10,1,5,22.71,54.85%,56.72%
="06538P",伦AY,499,1.01,1.04,10,-,4.794%,1.06,10.42%,41,Щ,8.33% 基ず,12,0.75,28,-5.24,59.06%,-
="06590P",じ8T,450,1.05,1.10,150,4.762%,4.711%,1.13,9.71%,180,Щ,8.33% 基ず,12,0.80,36,-5.23,49.70%,54.38%
="06639P",惩膀7R,499,0.79,0.82,100,3.798%,7.661%,0.85,2.41%,108,Щ,8.33% 基ず,12,0.75,5,-8.15,63.80%,76.91%
="06755P",15惩膀,200,1.16,1.19,200,2.586%,2.455%,-,-,0,翬非,14.71% 基ず,72.22,0.1040,21,-4.63,57.66%,65.67%
="06609P",惩膀6S,100,2.11,2.17,10,2.844%,1.402%,-,-,0,翬非,24.74% 基ず,81.85,0.1040,3,-2.82,142.54%,232.50%
="07130P",XMじ,300,2.07,2.10,10,1.449%,1.365%,-,-,0,翬非,24.88% 基ず,82,0.10,36,-2.68,60.99%,69.42%
="06724P",じ碔4D,200,2.64,2.68,40,1.515%,1.347%,-,-,0,翬非,25.61% 基ず,82.81,0.1250,21,-2.86,0.00%,75.97%
="06853P",4Y碔ü,499,3.90,3.99,10,2.308%,1.138%,-,-,0,翬非,28.93% 基ず,86.67,0.1560,21,-2.32,30.05%,97.52%
="07014P",B4瓣,160,3.14,3.24,50,3.185%,1.132%,-,-,0,翬非,28.93% 基ず,86.67,0.1250,29,-2.22,63.80%,94.71%
="06012P",2Gじ,300,3.43,3.46,10,0.875%,1.037%,3.46,3.59%,1,翬非,30.95% 基ず,89.07,0.1250,7,-2.22,0.00%,135.04%
="06411P",碔ü6X,499,6.15,-,0,-,0.722%,-,-,0,翬非,39.18% 基ず,101.11,0.1560,42,-,0.00%,-
="036803",ッ15,450,1.68,1.73,10,2.976%,3.544%,-,-,0,穛腜,13.12% 基ず,46.50,0.25,24,6.32,50.17%,56.26%
="037466",JHッ伦,100,0.62,0.63,100,1.613%,3.077%,0.65,4.84%,64,穛腜,1.19% 基ず,51.98,0.13,36,5.92,67.08%,68.25%
="037240",惩膀EM,60,4.72,4.82,10,2.119%,1.305%,4.84,7.08%,2,璣穨笷,62.67% 基ず,15,0.50,32,2.43,60.05%,112.51%
="037169",伦JY,100,5.60,-,0,-,1.320%,-,-,0,璣穨笷,61.16% 基ず,15.14,0.60,31,-,90.03%,-
="037633",ZDじ,1,4.22,4.30,10,1.896%,1.460%,-,-,0,璣穨笷,52.50% 基ず,16,0.50,38,2.77,30.05%,90.03%
="037669",LEッ伦,499,3.99,4.05,10,1.504%,1.667%,-,-,0,璣穨笷,42.36% 基ず,17.14,0.54,42,3.09,63.80%,75.04%
="036503",じ碔6D,100,4.18,-,0,-,1.916%,-,-,0,璣穨笷,35.56% 基ず,18,0.65,21,-,30.05%,-
="037924",じE4,300,3.25,3.34,10,2.769%,1.891%,3.25,3.83%,18,璣穨笷,35.56% 基ず,18,0.50,45,3.53,52.51%,67.54%
="036841",EZッ伦,499,3.52,3.62,10,2.841%,1.960%,-,-,0,璣穨笷,34.44% 基ず,18.15,0.56,24,3.63,45.03%,86.28%
="036640",ッ08,400,4.93,5.05,10,2.434%,1.999%,-,-,0,璣穨笷,33.70% 基ず,18.25,0.80,22,3.78,0.00%,82.53%
="035879",BGじ,100,2.70,2.79,10,3.333%,2.282%,-,-,0,璣穨笷,28.42% 基ず,19,0.50,5,4.23,0.00%,157.53%
="036177",ら脖MY,499,2.47,2.52,10,2.024%,2.490%,2.27,0.89%,10,璣穨笷,25.13% 基ず,19.50,0.50,21,5.12,45.03%,67.54%
="034176",じ08,499,0.88,0.89,50,1.124%,4.366%,0.71,-12.35%,120,м古,1.70% 基ず,33.63,0.44,31,12.21,42.92%,43.39%
="037526",伦LJ,0,-,-,0,-,-,-,-,0,稬琍,70.86% 基ず,25.46,0.30,37,-,-,-
="035870",AXじ,200,6.40,6.65,10,3.906%,1.099%,-,-,0,稬琍,61.47% 基ず,26.94,0.39,5,2.49,0.00%,300.04%
="035933",ら脖LX,499,4.59,4.62,10,0.654%,1.092%,-,-,0,稬琍,61.47% 基ず,26.94,0.2780,5,2.60,0.00%,195.02%
="037184",GZッ伦,499,5.45,5.75,10,5.505%,1.190%,-,-,0,稬琍,53.44% 基ず,28.35,0.36,31,2.64,0.00%,127.55%
="036936",じ碔8X,100,5,-,0,-,1.438%,-,-,0,稬琍,40.32% 基ず,31,0.40,25,-,0.00%,-
="037796",MKッ伦,499,3.66,3.73,11,1.913%,1.509%,3.66,2.23%,5,稬琍,35.51% 基ず,32.10,0.3150,43,3.51,56.26%,67.54%
="033260",E7参,268,2.38,2.46,10,3.361%,1.627%,-,-,0,稬琍,32.34% 基ず,32.87,0.2230,42,3.78,0.00%,61.92%
="036207",穝47,499,2.93,3.03,10,3.401%,1.629%,-,-,0,风琑,35.84% 基ず,56.61,0.1450,21,3.60,0.00%,94.71%
="036641",ッ09,300,3.86,-,0,-,1.612%,-,-,0,风琑,35.84% 基ず,56.61,0.1890,22,-,67.54%,-
="036952",じ碔9D,499,3.01,-,0,-,1.695%,-,-,0,风琑,32.68% 基ず,57.96,0.1560,28,-,67.54%,-
="036096",惩膀9J,400,2.05,2.15,10,4.854%,1.782%,-,-,0,风琑,31.66% 基ず,58.41,0.1110,9,3.82,82.53%,149.10%
="037567",YUじ,100,3.13,3.23,10,3.175%,1.719%,-,-,0,风琑,31.66% 基ず,58.41,0.1670,37,3.77,54.38%,72.23%
="036252",BZッ伦,499,3.42,3.52,10,2.916%,1.814%,-,-,0,风琑,30.54% 基ず,58.91,0.1890,21,3.96,58.13%,85.34%
="036058",ら脖MM,499,2.32,2.41,100,3.846%,2.357%,-,-,0,风琑,22.24% 基ず,62.91,0.1670,9,5.21,0.00%,100.33%
="036163",じ碔3E,499,2.24,2.26,10,0.889%,2.239%,2.24,7.18%,40,风琑,22.24% 基ず,62.91,0.1560,21,4.97,60.05%,64.73%
="037750",LZッ伦,499,2.15,2.21,10,2.778%,2.050%,-,-,0,风琑,21.14% 基ず,63.48,0.1460,42,4.37,59.06%,65.67%
="035727",じ9E,100,1.42,1.52,10,6.993%,2.640%,-,-,0,风琑,14.10% 基ず,67.40,0.1340,36,5.71,46.90%,58.36%
="035783",惩膀6T,400,1.05,1.08,10,2.830%,3.462%,-,-,0,风琑,14.10% 基ず,67.40,0.1110,3,7.72,71.29%,109.70%
="035764",L6ッ伦,499,0.85,0.90,10,5.747%,6.590%,0.82,2.50%,10,风琑,6.30% 基ず,72.34,0.1840,3,15.49,51.58%,70.35%
="07239P",ZZじ,499,0.71,0.73,100,2.817%,2.787%,0.75,15.38%,1131,約笷,5.05% 基ず,52.50,0.15,42,-5.86,47.36%,49.35%
="06692P",BQッ伦,499,0.55,0.56,10,1.818%,6.700%,-,-,0,筿,1.37% 基ず,53.33,0.15,21,-7.12,64.97%,66.37%
="06523P",竤痲D2,499,0.97,1.03,100,6.186%,6.231%,-,-,0,筿,4.40% 基ず,55.02,0.2070,28,-6.24,56.49%,61.46%
="07020P",眃㎝M6,100,1.01,1.11,10,9.901%,5.036%,-,-,0,筿,10.50% 基ず,58.77,0.1350,30,-4.63,56.96%,70.94%
="06599P",じ碔1D,499,0.13,0.14,100,7.692%,9.032%,-,-,0,タ碤,1.19% 基,41.11,0.1880,3,-23.53,60.99%,64.62%
="037160",MNじ,499,1.80,1.86,10,3.333%,2.904%,-,-,0,货,30.00% 基ず,40,0.15,31,4.08,0.00%,65.67%
="037398",惩膀GL,400,2.59,2.67,10,3.089%,3.233%,2.73,-2.85%,10,货,23.81% 基ず,42,0.25,36,4.30,50.64%,61.92%
="037301",IBッ伦,50,2.04,2.11,10,3.431%,3.395%,-,-,0,货,20.73% 基ず,43.07,0.2120,36,4.56,56.72%,65.67%
="036176",ら脖MX,499,2.18,2.26,10,3.670%,4.486%,-,-,0,货,15.56% 基ず,45,0.30,21,6.26,45.03%,57.19%
="037006",伦JM,499,1.66,-,0,-,4.559%,-,-,0,货,13.04% 基ず,46,0.25,28,-,46.90%,-
="035968",じ碔1W,499,1.34,1.39,50,3.731%,7.625%,-,-,0,货,9.47% 基ず,47.50,0.30,5,10.96,0.00%,56.26%
="036015",AVッ伦,111,0.95,1.04,10,9.474%,8.812%,1.14,-3.39%,1,货,5.89% 基ず,49.11,0.29,8,10.35,45.03%,58.60%
="035877",BEじ,499,0.48,0.53,10,10.417%,11.522%,0.49,-31.94%,141,货,4.00% 基ず,50,0.20,5,15.82,46.66%,59.53%
="037952",惩膀MF,100,1.28,1.31,10,2.344%,4.036%,1.40,-1.41%,300,货,4.00% 基ず,50,0.23,45,5.26,61.92%,63.80%
="037798",MMッ伦,499,1,1.03,49,3.000%,4.412%,1.10,-1.79%,76,货,2.22% 基ず,50.87,0.21,43,5.82,58.36%,60.40%
="035887",BPじ,499,1.73,-,0,-,1.493%,-,-,0,玭ㄈ,37.65% 基ず,29.24,0.1540,36,-,65.67%,-
="035986",ら脖MG,150,1.66,1.75,10,5.422%,2.106%,-,-,0,玭ㄈ,25.12% 基ず,32.17,0.2050,8,4.49,60.05%,131.30%
="036395",竤痲N1,189,2.65,2.75,10,3.788%,1.790%,-,-,0,玭ㄈ,23.24% 基ず,32.66,0.3080,45,3.79,67.72%,77.05%
="036345",3U碔ü,50,1.48,1.57,10,6.081%,2.600%,-,-,0,玭ㄈ,17.97% 基ず,34.12,0.2050,44,4.30,62.39%,73.40%
="036041",ッNG,400,1.43,1.48,10,3.521%,2.975%,-,-,0,玭ㄈ,15.33% 基ず,34.90,0.2560,9,6.25,67.54%,86.28%
="035821",M5ッ伦,64,1.05,1.14,10,8.571%,3.161%,-,-,0,玭ㄈ,15.26% 基ず,34.92,0.1950,4,6.37,76.91%,141.60%
="035690",竤痲G7,172,2.92,3.02,10,3.425%,2.346%,-,-,0,玭ㄈ,11.59% 基ず,36.07,0.5130,36,5.11,65.20%,69.89%
="034560",じ69,499,0.35,0.45,10,28.571%,2.682%,-,-,0,玭ㄈ,8.43% 基ず,37.12,0.0760,37,5.23,55.14%,83.94%
="06382P",NFじ碔,499,0.32,0.34,10,6.061%,4.822%,-,-,0,玭ㄈ,0.05% 基,40.23,0.1940,8,-11.25,71.76%,75.97%
="035248",伦AD,995,0.49,0.50,10,2.041%,3.630%,-,-,0,玭ㄈ,0.57% 基,40.48,0.2050,21,8.65,64.03%,65.32%
="037408",伦KQ,728,0.69,0.70,10,1.449%,3.112%,-,-,0,ね笷,6.00% 基ず,8.34,0.80,36,6.77,52.51%,53.92%
="06880P",じ碔7K,499,0.33,0.35,100,6.061%,4.058%,-,-,0,ね笷,1.49% 基,8.71,0.90,22,-10.03,49.94%,52.51%
="06796P",K8い獺,499,0.38,0.39,10,2.632%,4.447%,0.37,2.78%,1,ね笷,0.67% 基ず,8.90,0.90,21,-10.77,46.43%,47.83%
="036381",FJじ,499,0.43,0.44,300,2.326%,3.176%,0.45,-2.17%,115,ね笷,1.78% 基,9,0.80,45,7.77,48.30%,49.24%
="06720P",3G碔ü,499,0.73,0.74,100,1.370%,2.680%,-,-,0,ね笷,1.78% 基ず,9,1,42,-6.02,53.92%,54.85%
="06745P",伦DU,892,0.56,0.57,10,5.455%,2.834%,0.54,1.89%,5,ね笷,1.78% 基ず,9,0.80,44,-6.59,49.24%,52.51%
="06736P",DXじ,100,0.70,0.74,20,7.246%,3.835%,-,-,0,ね笷,6.95% 基ず,9.50,0.90,21,-8.16,39.41%,46.90%
="06569P",1F碔ü,200,1.25,1.28,10,2.419%,2.643%,1.24,3.33%,50,ね笷,11.60% 基ず,10,1,29,-5.81,43.15%,46.90%
="06375P",G7伦,489,1.81,-,0,-,2.094%,-,-,0,ね笷,16.60% 基ず,10.60,1.0380,8,-,0.00%,-
="06548P",じ7R,100,1.73,1.83,10,5.780%,1.672%,-,-,0,ね笷,19.64% 基ず,11,0.80,28,-3.56,45.03%,71.29%
="037388",XLじ,350,1.81,1.83,10,1.105%,1.394%,1.86,-5.58%,46,,51.43% 基ず,35,0.10,36,2.77,61.92%,81.59%
="037661",ZYじ,350,1.66,1.69,10,1.807%,1.684%,-,-,0,,32.50% 基ず,40,0.12,42,3.36,74.10%,81.13%
="037072",FYッ伦,499,1.59,1.65,10,3.774%,2.043%,-,-,0,,22.40% 基ず,43.30,0.1450,29,3.91,83.23%,93.77%
="036676",ら脖NZ,499,1.05,1.08,10,2.857%,2.503%,-,-,0,,17.78% 基ず,45,0.12,22,5.04,68.01%,75.97%
="037963",N9竤痲,376,1.33,1.43,10,7.519%,2.127%,-,-,0,,12.77% 基ず,47,0.15,45,4.12,75.27%,85.69%
="036216",瓣2D,210,2.39,-,0,-,2.461%,2.41,-13.31%,96,,9.28% 基ず,48.50,0.33,42,5.04,66.61%,-
="036562",DJッ伦,499,0.77,0.78,10,1.299%,3.048%,0.76,-20%,120,,4.02% 基ず,50.95,0.1450,21,6.25,83.70%,85.11%
="037289",NWじ,100,1.55,1.65,10,6.452%,1.963%,-,-,0,垂筿,27.27% 基ず,22,0.25,36,3.88,56.26%,80.66%
="037360",E1瓣,100,2.23,3.73,5,2.691%,2.442%,2.27,-2.58%,25,垂筿,16.67% 基ず,24,0.50,36,5.13,53.45%,59.06%
="037535",伦LT,499,1.25,-,0,-,2.531%,-,-,0,垂筿,14.75% 基ず,24.40,0.30,37,-,53.45%,-
="037008",伦JP,200,0.54,-,0,-,4.607%,-,-,0,垂筿,3.70% 基ず,27,0.30,28,-,39.88%,-
="037194",HJッ伦,50,0.60,-,0,-,4.597%,-,-,0,垂筿,2.30% 基ず,27.37,0.35,31,6.36,41.98%,-
="036230",DKじ,499,0.32,0.42,10,31.250%,5.571%,-,-,0,垂筿,-,28,0.25,21,10.00,47.01%,61.92%
="037055",惩膀CW,100,0.39,0.42,100,7.692%,3.696%,-,-,0,垂筿,-,28,0.20,29,7.44,61.10%,65.90%
="06543P",伦BN,581,0.70,0.79,10,12.857%,3.250%,-,-,0,垂筿,3.71% 基ず,29.13,0.3090,28,-6.56,53.21%,62.63%
="037084",じ碔9T,499,0.53,0.55,100,3.774%,4.801%,-,-,0,ㄊじ筿,4.19% 基ず,20.30,0.30,30,7.62,53.92%,56.72%
="06916P",88惩膀,400,1.66,1.72,10,3.615%,4.887%,-,-,0,羛祇,0.24% 基ず,210,0.15,23,-8.77,51.64%,53.57%
="07017P",じ碔9X,499,2.09,2.15,10,2.871%,3.842%,2.16,17.39%,13,羛祇,0.24% 基ず,210,0.15,30,-6.76,57.25%,58.95%
="07120P",ら脖37,499,0.59,0.60,10,1.695%,4.505%,0.63,26%,71,羛祇,0.24% 基ず,210,0.05,36,-7.80,44.25%,45.00%
="07221P",I7竤痲,499,0.79,0.80,100,1.266%,3.338%,0.79,16.18%,859,羛祇,0.24% 基ず,210,0.05,42,-6.09,55.14%,55.85%
="07260P",FZ参,468,0.56,0.57,158,1.786%,3.318%,0.57,14%,221,羛祇,1.63% 基ず,212.96,0.0330,43,-5.94,52.89%,53.95%
="07169P",KNッ伦,499,0.74,0.75,10,1.351%,2.872%,0.77,13.24%,70,羛祇,2.95% 基ず,215.86,0.0350,37,-4.82,66.20%,67.28%
="07098P",D6瓣,200,1.52,1.55,180,1.974%,3.484%,1.53,15.04%,117,羛祇,4.77% 基ず,220,0.08,36,-6.36,49.18%,50.58%
="07188P",G9竤痲,499,1.05,1.06,10,0.952%,3.130%,1.07,15.05%,80,羛祇,4.77% 基ず,220,0.05,38,-5.50,55.38%,56.14%
="06728P",CGッ伦,499,1.03,1.07,10,3.884%,4.130%,1.03,14.44%,10,羛祇,6.47% 基ず,224,0.0550,21,-7.54,47.83%,51.93%
="07161P",伦LE,422,1.17,1.18,10,0.855%,3.076%,1.20,21.21%,20,羛祇,6.89% 基ず,225,0.05,37,-5.41,52.57%,53.39%
="06935P",FDッ伦,499,1.09,1.11,10,1.835%,3.426%,1.15,18.56%,50,羛祇,8.72% 基ず,229.50,0.0450,24,-5.80,52.22%,54.68%
="06777P",じ碔5F,499,2.47,-,0,-,3.026%,2.45,9.37%,10,羛祇,8.70% 基ず,230,0.10,44,-6.05,41.28%,-
="06785P",竤痲N3,299,2.26,2.34,199,3.540%,3.786%,-,-,0,羛祇,8.91% 基ず,230,0.10,21,-6.97,42.69%,48.18%
="07222P",I8竤痲,350,1.43,1.46,100,2.098%,2.654%,-,-,0,羛祇,8.91% 基ず,230,0.05,42,-4.63,55.73%,58.01%
="06998P",EH参,468,1,1.08,10,8.000%,3.020%,-,-,0,羛祇,10.81% 基ず,234.90,0.0350,29,-5.17,48.07%,60.11%
="06829P",47惩膀,300,2.73,2.82,10,3.297%,3.347%,2.85,15.38%,10,羛祇,10.85% 基ず,235,0.10,21,-5.84,46.43%,52.98%
="06749P",伦DY,300,3.28,3.37,10,2.744%,2.580%,-,-,0,羛祇,12.71% 基ず,240,0.10,44,-4.96,39.53%,43.86%
="06718P",3E碔ü,499,4.23,4.32,10,-,2.199%,-,-,0,羛祇,16.20% 基ず,250,0.10,42,-4.04,45.03%,-
="06738P",DZじ,100,2.01,2.06,10,2.488%,2.575%,-,-,0,羛祇,16.20% 基ず,250,0.05,21,-4.73,0.00%,50.17%
="06752P",12惩膀,300,2.01,2.10,10,4.478%,2.575%,-,-,0,羛祇,16.20% 基ず,250,0.05,21,-4.57,0.00%,59.06%
="06776P",じ碔5E,499,2.40,-,0,-,2.588%,-,-,0,羛祇,16.20% 基ず,250,0.06,21,-,0.00%,-
="06825P",瓣布GU,50,2,-,0,-,2.588%,-,-,0,羛祇,16.20% 基ず,250,0.05,21,-,0.00%,-
="06909P",ら脖04,499,2.02,2.09,10,3.465%,2.537%,-,-,0,羛祇,16.20% 基ず,250,0.05,23,-4.59,0.00%,54.38%
